id,text,label
8167,و لانني احب الاشياء الراقيه ,not_applicable
1532,أَثِقُ فِي قُدْرَتِي عَلَى التَّعَامُلِ مَعَ الصُّعُوبَاتِ.,hope
4710,وروضة بات طل الغيث ينسجها حتى إذا نسجت أضحى يدبجها إذا تنفس فيه ريح نرجسها تاغى جي خزاماها بنفسجها أقول فيها لساقينا وفي يده كأس كشعلة نار إذ يؤججها لا تمزجنها بغير الريق منك وإن تبخل بذاك فدمعي سوف يمزجها أقل ما بي ن حبيك أن يدي إذا دنت من فؤادي كاد ينشجها,not_applicable
6084,أَشْعُرُ بِقَلْبِي العَنِيدِ وَهُوَ يَحَارُبُ اللَّهَ فِي بَع,not_applicable
8968,@MoaElshamy بتحسسني اني مرتضى ده كان بيدي واحد محتاج صدقة في الشارع فالخطيب رفع عليه قضية و كسبها 😂😂.. يا اخي اتقي الله بقه و كفاك ضلال .. ربنا يهديك لنفسك,not_applicable
1535,سلاماً ياراحل عني .. القلب معك والروح معك .. وانا وراك اتبعك,hope
7307,دُونَ المُنى في الهَوى يا نَفْس آفاتُ كَأْسُ الهَوى حُلْوَةٌ فيها مَراراتُ إِنَّ المُحِبّينَ إِنْ أَخْفَوا مُحاذَرَةً هَواهُمُ فَلَهُمْ فيهِ عَلاماتُ لا آخَذَ اللَهُ مَنْ قَلْبي بِهِ كَلِفٌ صَبٌّ قَدِ اسْتَحكَمَتْ فيهِ الصَّباباتُ لِكُلِّ شَيْءٍ نِهاياتٌ تَبيدُ وَما لِلَوْعَةِ الحُبِّ في قَلْبي نِهاياتُ,hope
3518,اكتر حاجه عجبتني في افتتاح ريو دي جانيروا تحيه ال207 دول المشاركه في الاوليمبياد ل  فلسطين❤❤󾌣󾌣❤❤,hope
2605,RT @tomas_4040: الزول اكل معصوبه واصبحت اليمن والخليج اراضي سودانيه 🥱🥱 https://t.co/W8khhjjgaW,not_applicable
3469,اعجبْ لهوايَ فيهِ غُصناً والقدُّ بمعنيينِ سائلْ ما جادَ عذارُهُ لدمعي ال سائلِ لا ما يحبُّ سائلْ,not_applicable
6800,مروان محسن من ايام بتروجيت و الاوليمبياد و انا نفسي اشوفه بتيشرت الاهلي 💞,hope
7197,RT @ayoobe60: مختصر دين الوهابية 4 حاجات. #معاوية_رأس_الفتنة https://t.co/IvABKys17L,hate
2177,: لاتنسوا اهل حلب من دعواتكم اللهم فرج عنهم وارحمهم وغفر لموتاهم اللهم اميييين,hope
7710,althani: تري حلاه العمر مع من تحبه .. شخصٍ تريده من جميع المخاليق .. بوح ابيات,not_applicable
2351,من مواطن قبيلة باهلة قديما بيشة وتبالة وترج، وهي من القبائل التي سكنت بيشة وكتب لها النبي أراضيا فيها، وقد كان لهم أيام فيها مع بني الحارث وبني أسد، في زمام وذات العراقي وقرين الأسد وهي مواضع حالية ما بين ترج وتبالة. https://t.co/nZ6EqI1DkO,not_applicable
6688,لازم يتحبس حد برضه يتكلم ع الفساد في مصر وما يتحبسش هشام جنينه,not_applicable
3312,بنَفْسي حبيبٌ هوَّن البُعدَ طَيفُهُ عليّ ولكنْ نغَّص القُرْبَ صَدُّهُ ومُستهزئٌ في الحُسْنِ بالبدرِ وجهُه ومُستهزئٌ في الطّيبِ بالورْد خَدُّه وبالمِسْك صُدْغاه وبالدُّرِّ ثَغْرُه وبالظّبْي عَيناه وبالخُوط قَدُّه,not_applicable
2134,قلبي مشتاق لعيون الغزال بنت جميله كلها حسن ودلال,hope
1480,عبس الزمان وقد أتى متبسما بعد العبوس لا تعتبوه فإن من حسناته يوم الخميس فشهدت بعد غروبه قمراً يجل عن الشموس وأشار لي بعد التحي ة بالتحدث والجلوس فسكوت وجداً من أحا ديث تدار بلا كؤوس هل يدري بدر التم أ ن أخاه في الدنيا جليسي,hope
2793,: يقولي : من اي ارض حلوه اتيتِ الي 💭🌝. غزل,not_applicable
4680,وخلاص بتخلص الاوليمبياد وماطلعناش منها غير ب 3 برونزيات ايتام بعثه فيها 150 شخص ورايحين البرازيل وهازين طولهم ع 3 ميداليات برونز ~ ~,not_applicable
9626,والفضل للسابقِ في كل حال بالفضل حازوا قصب السَّبقِ وما لوسع الخلق أن يبلغوا تسابقَ المخلوقِ والحقِّ لما تجارت نحو أنفس اقعدها في مقعد الصدق فعمَّ كلَّ الخلق أفضالُه ولم يعم الحق للخلقِِ أبدى لهم مشهدَه بارقاً كلمحةِ العينِ أو البرق وعنده خرُّوا له سُجَّداً لكن يحوزوا نظرة الصعق من فاز بالأسماء في خلقه قد فاز بالذات وبالخلق,not_applicable
9777,بمناسبه تاريخ الاوليمبياد انا بصيت علي تاريخ اللي خدوا ميداليات عندنا اكتشفت ان عندنا قصه تعتبر من القصص الهامه في الاوليمبياد,hope
4474,وجدتك انت ❤️ ليجبر الله بك كل كسر مر بي ..  مشاعر بوح قبل ان تنام,hope
7704,انا الوحيده الي خايفه من ذَا المقطع؟,not_applicable
5833,لا تلحني يا هذهِ انني لم تُصبني هندٌ ولا زينبُ لكنني أصبو إلى شادن فيه خصالٌ جَمَّةٌ تُرغَبُ لا يرهَبُ الطمثَ ولا يشتكي حملاً ولا عن مُقلتي يُحجَبُ,not_applicable
4048,أخبار العالم الصهيوني هذه صفحة يهودية هدفها الشحن والتحريض لأن الكيان المؤقت يبحث عن أسباب تطيل بقاءه لأنه لايمكن له البقاء والاستمرار إلا بإيقاظ الفتنة وإشعال الصراعات بين المسلمين وحتى بين مختلف الناس فهذا دأبهم أشرار مجرمين يسعون في الأرض فسادا https://t.co/RA0qojaKvu,hate
4868,ذَكَّرَني الوَردُ ريحَ إِنسانِ أَذكُرُهُ عِندَ كُلِّ رَيحانِ إِن فاحَ لَم أَملِكِ البُكا فَإِذا ما اِهتَزَّ قامَ النَديمُ يَنعاني فَقَد حَمَوني الرَيحانَ خَوفاً عَلى نَفسِيَ تَقضي لِذِكرِ حَيّانِ وَلَيسَ حَيّانَ مَن عَنَيتُ وَلَ كِنَّهُما في الهِجاءِ سِيّانِ وَيلي عَلَيها وَيلٌ يَحِلُّ مَعي في القَبرِ بَيني وَبَينَ أَكفاني شاطِرَةٌ إِن مَشَت مُكَرَّهَةً تَأخُذُ تَكريهَها بِسُلطانِ,not_applicable
3520,ولذبحنا أموالهم هم يدفعون عرب ولكن من يهود يرضعون https://t.co/8wA9kg03CX,hate
3853,يا ريت فعلا ينجزوه دلوقتي بدل ما يستني ليناير ويتالق في الاوليمبياد ويبقي اغلي كتير,hope
6607,أخص ع الرجالة سايب مراته تتنطط كدا وهو زي القفا. https://t.co/6FqiZEUUKe,not_applicable
1952,: ليس ذاك الشيء الذي تبحث عنه وقت فراغك او بعد منتصف الليل ان احببت بصدق ستجد نفسك مع من تحب طيله الوقت !,hope
555,عندما تنازل العرب عن فلسطين التي يعيث بها الصهاينة فساداً مند ٧٠ سنة عرف العالم أنهم خرطي . https://t.co/t7UROGS8Hv,hate
4127,: ﺍﻟﻠﻬﻢ ﺃنزل ﺩﻑﺀ ﺭﺣﻤﺘﻚ ﻋﻠﻰ ﻣﻦ لا‌ ﻣﺄﻭﻯ ﻟﻬﻢ ﻣﻦ ﺑﺮﺩ ﺍﻟﺸﺘﺎء اللهم ابسط رحمتك عليهم وارزقهم الامن والامان ٰ تراجف…,hope
1163,،أَشْعُرُ بِالشُّجَاعَةِ عِنْدَمَا قُمْتُ بِمُرَاجَعَةِ مَوْقِعِ <href> www,not_applicable
8018,@Kiatuh السلق قايمين على فيصل طلال عشانه مايعرف الارقوز 😂😂😂,not_applicable
9197,متزوجه اوقحبه ومشتهيه جماعي تعالي سناب قحبتي 🔥 #فويس https://t.co/ObyiIu1J6W,not_applicable
5151,@sataqui ماشي يا علماني يا بتاع عيد الشجرة,hate
5633,@HafezMirazi السادات بطل السلام..لولا المعاهدة لما رجعت الاراضي المصريه واستمرت الحرب الى مالا نهاية واتنزف وتدمر وانهك الجيش المصرى وربما تضيع مدن حدوديه اخرى.ورغم الصلح تركت الحرب كارثه اقتصاديه تتوارثها الاجيال الى الان..,not_applicable
8820,وهناك تقدمت للمشاركه في الاوليمبياد ولاول مره يسمح الاوليمبياد بمشاركه لاجئين لعبت بالامس في سباق ال 100 متر فراشه وحصلت علي المركز الاول,not_applicable
7135,لقد كان لدي شعور مميز للغاية بأنني أستطيع الذهاب إلى أي مكان,hope
7639,انت تقول مجوسي لعنه الله علي ايران والمجوس وكل اتباعهم من الاولين والاخرين 0ولعنه الله عليك يا راعي فضائح الفاسقه يا نتنن وديوث,hate
1598,: ليتني كنت معكم احمل شوقا لتلك السواقي لتلك الضفاف لتلك الازقه الضيقه لتلك الحبيبه موصلنا الرقيقه العراق ينصر الانسانيه,hope
6935,هل تعلمون ماهي مقدمات مقدمات الحب هو الاعجاب ،،,not_applicable
300,@IBZBLUE والله ان اعلام ذاك النادي حمير هندية,hate
9508,لَكَ عِنْدي مِن طَيِّبِ الوَرْدِ أَطْبَا قٌ تُدْنِي بَعِيدَ سُرورِكْ وَشَرابٌ كَطِيبِ نَشْرِكَ يُلْقِي فَوْقَ أَيْدِي السُّقَاةِ نُوراً كَنُورِكْ فَبِحَقِّي أَهْدِ السُّرورَ إلى مَنْ لا يَلَذّ الدُّنْيا بِغَيْرِ حُضُورِكْ,not_applicable
5192,", أَشْعُرُ بِالسُّعَادَةِ تَشَانْغْمِين.",hope
8387,: طائفيه القضاء في السعوديه تعدم متظاهر شيعي و تسجن داعشي قاتل في سوريا  اعدام 21 داعيه سنيا في ايران,not_applicable
4427,بصراحه تعليق طارق الادور احسن من باقي المعلقين العرب علي الاوليمبياد ✋ هو اي نعم بيتكلم كتير و بيصدعني 😂 بس بجد متميز عنهم بكتييير اوووي 👏😉,not_applicable
8397,لازم يعملوا في الاوليمبياد منافسات في مين اكتر واحد يخش غرقانه مثلا عشان اعرف اشارك 😅,not_applicable
2858,ابي عاهره #مٌعصيٌتٓيّ_رحّتِيّ,not_applicable
3773,منكر ونكير مب رفيف ! الحمدلله ان الحساب والعقاب بيد رب العالمين موب يده ذا الهمج الدواعىىىى https://t.co/dlMFwn8Fnu,hate
1359,:  Alamer يامرحبامرحب يخص المير في ارض العرب ذي صحبته مكسب ولقيانه بشاره غاليهيا من كتب في القلب عنوانه ورقمه والل…,hope
